,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
107,Xiaomi Mouse Wireless Mouse Lite 24GHz 1000DPI Portable Computer Mouse USB Receiver小米无线鼠标,26.16,JIMI HOME,5.0,JIMI HOME,13.0,1.0
108,Mofii New Product Rabbit Wireless 24G Optical 1200 DPI Mouse AAA Battery USB Plug Wireless Mouse Mice,28.8,Mofii,5.0,MOFII Malaysia,50.0,26.0
109,Lenovo M211 Portable  Mini Wireless Mouse with 24GHz High-Quality Optical Ergonomic Wireless Mice for Office Home Using Gaming Support PC/laptop,27.9,Lenovo,4.8,Lenovo Online Mall,62.0,26.0
110,Optical Wireless Mouse 24G Receiver Ultra-thin for Computer PC Laptop Desk,8.84,UEB,5.0,lotsgoods,5.0,0.0
111,inphic PM1 24G Wireless Mouse Rechargeable Ultra Slim Silent Mice1600Dpi Dual Mode Bluetooth Mice for iPad Tablets,29.99,inphic,4.99,inphic,353.0,146.0
112,Thunderobot ML101 Wireless Mouse Noise Reduction 24G with USB Nano Receiver 1600 DPI 6 Buttons Long Battery Life Mouse for PC Laptop Chromebook White/Pink,24.9,Thunderobot,4.88,THUNDEROBOT Official Store,65.0,32.0
113,"iClever Type C Rechargeable Wireless Mouse, Dual Mode, Bluetooth+24G, 5 Stage DPI 800/1200/1600/2000/2400, 3 Device Connections, 7 Key Buttons, Metal Roller, Multi-Pairing, Large Size, MD172",115.72,iClever,5.0,iClever Malaysia,73.0,32.0
115,"Logitech M221 Silent Wireless Mouse with Silent, Comfortable Shape & Easy-to-use for Desktop Laptop Computer Tetikus Komputer Tanpa Wayar",49.9,Logitech,5.0,ALCOM Online Store,111.0,33.0
116,Lenovo 540 USB-C Wireless Compact Mouse 2400 DPI,75.0,Motorola,5.0,Lenovo & Moto Accessories Store,18.0,11.0
121,[Global Version] Mi Dual Mode Wireless Mouse Silent Edition Bluetooth 24gHz,48.9,Xiaomi,4.92,Dasher,467.0,107.0
122,"Logitech M100r Wired USB Mouse, 3-Buttons, 1000 DPI Optical Tracking, Ambidextrous PC / Mac / Laptop - Graphite",30.7,Logitech,4.97,Logitech,332.0,58.0
