,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
547,Redmi K70 Pro / Redmi K70 / Redmi k70E/Redmi Phone/Xiaomi Phone/红米K70 Pro,395.0,Xiaomi,5.0,KK Technology,14.0,7.0
551,"Oneplus 13 5G Smartphone/Oneplus 12 Phone/OnePlus 13 ColorOS 15/ 682"" 120Hz AMOLED/6000mAh/Qualcomm Snapdragon 8 Elite Smartphone/Dual SIM 5G Gaming Oneplus Phone/OnePlus Cell Phone/Original Phone",859.0,OnePlus,4.97,KK Technology,70.0,30.0
564,US- Google Pixel 8a/ Pixel 7a/pixel 8 /pixel 7 US version phone,499.0,Google,4.84,TopTrend,221.0,62.0
577,"Original VIVO iQOO 13 5G Cell phone| Snapdragon 8 Elite Vivo Phone| 682""144Hz AMOLED|120W SuperVOOC | 6150 mAhmAh|50MP Rear Camera |iQOO Gaming Phone",859.0,Vivo,4.75,MOMO Technology,12.0,4.0
590,Xiaomi Redmi K70 Pro Smartphone /Redmi K70 Pro/Redmi K70E/Redmi K70 Pro/Redmi Phone/Xiaomi Phone/红米K70 Pro,395.0,Xiaomi,5.0,KK Technology,9.0,3.0
601,Oukitel WP27 24GB+256GB 678“FHD+ 8500 mAh Mobile Phone Android 13 Mobile Phone 64MP MTK G99  Rugged Handphone,343.0,OUKITEL,3.67,OUKITEL Flagship Store,5.0,6.0
602,"Oneplus 12 5G Smartphone/Oneplus 13 5G Smartphone/OnePlus 12/13 Mobile Phone/OnePlus Snapdragon 8 Gen 3 Smartphone/OnePlus Phone 682"" 2K 120Hz LTPO AMOLED/5400 mAh Battery/一加手机/一加12/13手机",859.0,OnePlus,4.92,Laaaaa Store,209.0,66.0
603,OPPO Reno13 Smartphone/OPPO Reno13 Pro Dimensity 8350 Ai Phone/683 inch AMOLED Screen/5800mAh/80W Fast Charging/OPPO Phone Dual SIM/OPPO Reno13 Pro 5G拍照手机,608.0,OPPO,5.0,Eliauk,6.0,2.0
604,OnePlus Ace 3 Pro/OnePlus Ace 3/Ace 3V SmartPhone/OnePlus Snapdragon 8 Gen 3 Phone/678 inches Mobile Phone/120Hz 3D AMOLED Screen OnePlus Cellphone/6100 mAh/100W Fast Charging/一加Ace 3 Pro/一加手机,468.0,OnePlus,5.0,Lily Happy,12.0,5.0
606,realme 12 + 5G (12GB+256GB) Sony LYT-600 OlS Portrait Camera | Dimensity 7050 5G Chipset | 120Hz Smooth AMOLED Display | 67W SUPERVOOC Charge | 5G + 5G Dual | Handphone | Mobile Phone New,469.0,Realme,5.0,realme Singapore,15.0,7.0
608,"2024 New Realme 12 Pro Plus Snapdragon 7s Gen 2| Realme 12 Pro  Snapdragon® 6 Gen 1 5G Mobile Phone|Realme 12 Series Phone|Realme Cellphone|67"" 120Hz Screen| 5000mAh| 67W Fast Charge真我12Pro|真我12Pro+",429.0,Realme,5.0,MOMO Technology,9.0,4.0
622,Find X8 Pro|Find X8 Dimensity 9400/Find X7 Ultra Snapdragon 8 Gen 3 Octa Core Mobile Phone/ Find X7 Dimensity 9300 Octa Core Smartphone /120Hz AMOLED Screen/ 100W SuperVOOC/Dual SIM/ X7 Ultra Phone/X7 Sealed in Box,698.0,OPPO,5.0,Lily Happy,17.0,7.0
624,"Samsung Galaxy Z Flip 6 5G, AI Phone,Local Warranty Display&Sealed set",1068.0,Samsung,4.83,360 Mobile,30.0,6.0
626,Realme 13 Pro+ Smartphone/Realme 13 Pro Ultra/Snapdragon 7s Gen 2/Realme 13 Pro Phone Dimensity 7300 / Realme Mobile Phone/Realme Cellphone/5200mAh/真我13 Pro+手机,417.0,Realme,5.0,KK Technology,11.0,2.0
